ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14383904,19.05.17 7:02:11,4,2656,2656
14384180,19.05.17 13:48:22,5,36183,36183
14384562,20.05.17 11:14:33,4,2247,2247
14384603,20.05.17 12:09:51,15,46648,46648
14384792,20.05.17 16:40:48,15,1203,1203
14384891,20.05.17 20:39:11,20,282,282
14385172,21.05.17 13:01:47,15,2450,2450
14385724,22.05.17 14:47:35,15,1500,1500
14386597,25.05.17 7:01:25,17,19981,19981
14386692,25.05.17 14:43:53,11,3759,3759
14386831,26.05.17 10:15:46,6,5095,5095
14387271,26.05.17 23:16:00,9,2106,2106
14388245,28.05.17 19:01:31,17,21878,21878
14388374,29.05.17 9:45:47,1,2676,2676
14388491,29.05.17 13:10:36,20,29457,29457
14388673,29.05.17 18:12:32,15,6894,6894
14388688,29.05.17 18:55:23,13,1200,1200
14388759,29.05.17 22:37:45,5,2624,0
14388761,29.05.17 22:42:03,13,4400,4400
14388777,29.05.17 23:35:08,10,27549,27549
14389006,30.05.17 13:56:12,13,11412,11412
14389204,30.05.17 20:32:17,12,1693,1693
14389339,31.05.17 13:26:17,11,665,665
14389482,01.06.17 7:04:11,13,3225,3225
14389627,01.06.17 16:30:30,9,13944,13944
14390315,03.06.17 11:44:44,3,7625,7625
14390620,03.06.17 18:24:35,7,1468,1468
14390724,04.06.17 7:01:36,3,25188,25188
14390773,04.06.17 9:49:57,12,664,664
14390876,04.06.17 12:07:35,10,4578,4578
14391050,04.06.17 15:46:04,4,1680,1680
14391092,04.06.17 16:55:55,18,1760,1760
14391132,04.06.17 17:52:31,5,636,636
14391138,04.06.17 17:59:15,5,43389,43389
14391180,04.06.17 19:31:29,19,1070,1070
14391510,05.06.17 14:27:27,10,1468,1468
14391658,05.06.17 17:57:03,15,19650,19650
14391687,05.06.17 19:27:31,8,2052,2052
14392050,06.06.17 16:06:37,7,3120,3120
14392330,07.06.17 16:40:42,2,570,570
14392554,08.06.17 14:55:50,17,1424,1424
14393031,09.06.17 15:53:37,4,1797,1797
14393308,10.06.17 9:43:31,2,8138,8138
14393700,10.06.17 21:40:04,16,1764,0
14393848,11.06.17 11:26:16,8,3612,3612
14394706,15.06.17 0:04:10,10,8204,8204
14394996,15.06.17 23:38:30,14,519,519
14395298,16.06.17 14:23:46,19,18199,18199
14395337,16.06.17 15:16:57,11,24160,24160
14395572,16.06.17 22:52:57,7,40114,40114
14396222,18.06.17 12:27:16,22,5061,5061
14396316,18.06.17 14:46:56,22,1400,1400
14396504,18.06.17 22:54:02,5,6488,6488
14396796,19.06.17 15:59:42,6,17016,17016
14396937,19.06.17 21:14:56,8,40766,40766
14397511,21.06.17 16:24:56,15,10144,10144
14397568,21.06.17 20:08:48,4,1476,1476
14397856,23.06.17 7:02:44,2,305,305
14398096,23.06.17 14:36:08,9,3260,3260
14398379,24.06.17 9:22:20,6,4984,4984
14398744,24.06.17 19:36:06,21,3987,3987
14398788,24.06.17 22:32:31,10,33619,33619
14399124,25.06.17 16:16:37,19,212,212
14399522,26.06.17 13:12:48,17,2880,2880
14399766,26.06.17 21:55:12,10,2340,2340
14400532,29.06.17 12:59:14,16,8578,0
14400627,29.06.17 18:35:18,2,14021,14021
14400630,29.06.17 19:02:57,18,640,640
14400636,29.06.17 19:20:11,18,3348,3348
14400907,30.06.17 12:57:24,5,45575,45575
14401181,30.06.17 21:36:31,9,3002,3002
14401595,01.07.17 17:14:59,11,580,580
14401779,02.07.17 10:11:22,2,1120,1120
14401786,02.07.17 10:24:43,7,622,622
